Plato,Descripción,Precio 
Sushi Nigiri,Arroz sazonado con una fina lámina de pescado crudo.,30.00
Ramen,"Fideos japoneses en caldo, acompañados de cerdo, huevo y vegetales.",42.00
Pollo Teriyaki,Pechuga de pollo a la parrilla con salsa teriyaki y arroz.,36.00
Sopa Miso,"Sopa japonesa a base de miso, tofu y algas.",18.50
Tempura de Gambas,Gambas fritas en tempura ligera y crujiente.,32.00
Pad Thai,"Fideos de arroz salteados con tofu, cacahuetes, huevo y camarones.",39.30
Pollo al Curry Tailandés,Pollo en salsa de curry tailandés con leche de coco y arroz.,46.70
Yakisoba,"Fideos salteados con verduras, carne y salsa yakisoba.",35.50
Gyozas de Cerdo,Empanadillas japonesas rellenas de cerdo y verduras.,22.50
Pato Pekín,Pato asado acompañado de crepas finas y salsa hoisin.,65.00
Sashimi Variado,Lonchas finas de pescado crudo de alta calidad.,50.00
Tofu Mapo,Tofu en salsa picante con carne molida al estilo Sichuan.,34.50
Sushi Maki,Rollos de arroz y pescado envueltos en alga nori.,28.50
Bibimbap,"Plato coreano con arroz, carne, vegetales y huevo frito.",40.00
Pho Vietnamita,Sopa de fideos de arroz con carne de res y hierbas aromáticas.,45.30
