Plato,Descripción,Precio
Nigiri,Arroz sazonado con una fina lámina de pescado crudo ,30.00
Ramen , Fideos japoneses en caldo acompañados de cerdo huevo y vegetales ,42.00 
Pollo Teriyaki,Pechuga de pollo a la parrilla con salsa teriyaki y arroz, 36.00
Pato Pekín,Pato asado acompañado de crepas finas y salsa hoisin,65.00
Maki,Rollos de arroz y pescado envueltos en alga nori ,28.50
Sashimi,Lonchas finas de pescado crudo de alta calidad ,50.00
Vietnamita,Sopa de fideos de arroz con carne de res y hierbas aromáticas,45.30
Tofu Mapo,Tofu en salsa picante con carne molida al estilo Sichuan,34.50
Curry,Trozos de pollo acompañado con papas,46.70
Gyozas,Empanadillas japonesas rellenas de cerdo y verduras,22.50



